id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,cluster hierarchical complete,cluster hierarchical average,cluster hierarchical single
28644744011,15327115@N05,45.760601,4.833716,"lyon,placedesjacobins,fontaine,france",Lyon - place des Jacobins,3,16,30,6,2016,5,4,0
6281210289,63232561@N05,45.767474,4.833362,"zombie,zombiewalk,5dmii",Zombie Walk 5,10,17,22,10,2011,5,4,0
38652886416,113391938@N03,45.784241,4.851894,,,35,19,28,11,2017,5,4,0
6331709063,40936370@N00,45.837448,4.826248,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,painting,graffiti,ruins,rawart,outsiderart,chaos,maya,symbol,contemporaryart,secret,911,apocalypse,taz,peinture,container,freemasonry,cube,stonehenge,blackbox,artbrut,mu,ddc,sanctuary,cyberpunk,landart,alchemy,modernsculpture,sumer,prophecy,999,vanitas,sanctuaire,tiahuanaco,altaïr,atlantide,dadaisme,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,artsingulier,iledepaques,monumentalsculpture,prophétie,abodeofchaos,facteurcheval,palaisideal,ancienneegypte,postapocalyptique,maisondartiste,artistshouses,sculpturemoderne,francmaconnerie,groupeserveur,lespritdelasalamandre,servergroup,hyperborée",Emergence of mysterious Black Box DDC_0329,21,16,10,11,2011,0,3,0
5986598683,65745872@N07,45.784868,4.854658,"forumled,conferencesexpo",FORUM LED,22,15,7,12,2010,5,4,0
5605507866,61591695@N07,45.760996,4.928923,"atelier,vaulx,patrimoine,industriel,rize,villeurbanne,velin",,50,9,2,4,2011,1,0,0
8342602033,76211716@N06,45.796673,4.841195,studio,,19,18,1,1,2013,0,4,0
27103998316,37407868@N02,45.7597,4.8422,"square,squareformat,iphoneography,instagramapp,uploaded:by=instagram",Tulips of France  / Fransa'nın laleleri   #france #france_vacations #photo #moodfamily #likesforlikes #likeforlike #picture #likeme #bestoftheday #benimkarem #benimkadrajim #like4like #vscocam #vscogood #vscolove  #instavsco #ig_reward #ig_today #birdakik,49,14,20,5,2016,5,4,0
13910078354,66063379@N03,45.783252,4.849809,"lyon,tournage,interpol,cinéma,vidéo,courtmétrage,khôra,sethyoungruiz",Khôra-21.jpg,19,9,17,3,2014,5,4,0
17206736718,51768160@N05,45.751505,4.827075,,IMG_1331,39,6,6,5,2015,5,4,0
14693741895,12291792@N05,45.760068,4.831602,"france,lyon,haemorrhoids",French Pharmaceutical Humour,32,9,26,5,2014,5,4,0
16801899552,34010070@N04,45.736553,4.815187,,Esercito imperiale,55,20,7,3,2015,5,4,0
26365628961,44921934@N00,45.785074,4.853661,"conference,iot,citéinternationaledelyon,internetdesobjets,objetsconnectés,sido2016,67avril2016",2016 SIdO,7,12,6,4,2016,5,4,0
37311184886,113391938@N03,45.767186,4.857341,,,0,20,27,9,2017,5,4,0
31356648944,48551155@N05,45.769973,4.86253,"contrejour,europe,france,incity,lyon,places,tcl,tour,tower,tram",Contre-Jour,31,16,7,1,2017,5,4,0
11649539325,40936370@N00,45.83741,4.826163,"portrait,sculpture,streetart,france,art,mystery,museum,architecture,illustration,painting,graffiti,stencil,ruins,chaos,post,tech,symbol,contemporaryart,secret,911,apocalypse,like,taz,socialnetwork,peinture,container,link,20,press,jaime,ddc,sanctuary,comment,cyberpunk,alchemy,facebook,modernsculpture,prophecy,999,vanitas,pochoir,sanctuaire,presse,breakingnews,découpe,actualité,dadaisme,salamandre,artprice,salamanderspirit,organmuseum,saintromainaumontdor,demeureduchaos,thierryehrmann,alchimie,réseausocial,sélection,prophétie,abodeofchaos,éco,revuedepresse,postapocalyptique,maisondartiste,dernièreminute,artistshouses,sculpturemoderne,géopolitique,pressreview,groupeserveur,lespritdelasalamandre,servergroup,artpressagency",Pochoir Salamandre 1 - Demeure du Chaos / Abode of Chaos,57,17,30,12,2013,0,3,0
5163661066,8180195@N07,45.780513,4.872479,"lyon,ccg,aeg,l5r",IMG_4105,21,11,5,11,2010,5,4,0
